DATE,Median_Sale_Price_House,Personal_Income_Per_Capita,Property_Tax,Nasdaqcom,Construction_Employment_Cost,Population,New_House_Units_Construction,CPI,Mortage_Rate,Unemployment_Rate,Household_Debt_Payment,Recession_Rate,S&PCase_Schiller_Index
2012-10-01,251700,45257,7490,3001.65580645161,116.3,315684.666666667,535,2.1709293,3.35923076923077,7.8,9.894968,0.02,144.562666666667
2013-01-01,258400,43976,7572,3176.37616666667,117,316195.333333333,578.666666666667,2.10473886666667,3.49692307692308,7.73333333333333,10.264377,0.03,148.191666666667
2013-04-01,268100,44318,7656,3368.01296875,117.6,316732.666666667,618.333333333333,1.90661593333333,3.67230769230769,7.53333333333333,10.180452,0.03,152.856
2013-07-01,264800,44498,7742,3640.89546875,118.4,317396,651.666666666667,1.8908401,4.44,7.23333333333333,10.144262,0.11,156.932
2013-10-01,273600,44674,7829,3957.07625,118.6,318072,688,1.87767086666667,4.29307692307692,6.93333333333333,10.169299,0.06,160.103333333333
2014-01-01,275200,45380,7919,4210.40475409836,118.6,318644.333333333,717.666666666667,1.81061916666667,4.36461538461538,6.66666666666667,10.101298,0.05,162.513
2014-04-01,288000,46022,8013,4195.80634920635,119.1,319227.666666667,756,2.0989122,4.22769230769231,6.2,10.045591,0.01,163.705
2014-07-01,281000,46540,8111,4482.7428125,120.1,319918.333333333,793.333333333333,2.00578686666667,4.13538461538462,6.06666666666667,10.022488,0.05,165.232333333333
2014-10-01,298900,47085,8214,4600.93859375,120.7,320611.333333333,815.333333333333,1.99383676666667,3.96357142857143,5.7,9.98406,0.1,167.342333333333
2015-01-01,289200,47595,8321,4825.26442622951,120.7,321168.333333333,834.333333333333,1.988929,3.71666666666667,5.53333333333333,10.003731,1.01,169.188
2015-04-01,289100,47963,8423,5030.16714285714,121.6,321744,880.666666666667,2.08158103333333,3.81923076923077,5.43333333333333,10.035315,0.71,170.882666666667
2015-07-01,295800,48217,8519,4924.328125,122.6,322427.666666667,922.666666666667,2.20037283333333,3.95461538461538,5.1,10.095941,0.44,172.965
2015-10-01,302500,48375,8610,4998.138125,123.4,323110.666666667,958.333333333333,2.3983863,3.89785714285714,5.03333333333333,10.038918,0.93,175.691333333333
2016-01-01,299800,48527,8696,4614.20065573771,123.5,323689,979,2.5142698,3.73846153846154,4.9,10.004419,0.56,177.695666666667
2016-04-01,306000,48682,8782,4845.7121875,124.6,324265.666666667,1008,2.5593518,3.58923076923077,4.93333333333333,10.105045,0.19,179.426333333333
2016-07-01,303800,49059,8871,5168.8890625,124.9,324925.333333333,1036.33333333333,2.64358693333333,3.44615384615385,4.9,10.163226,0.06,181.836
2016-10-01,310900,49504,8960,5309.89031746032,125.8,325557.333333333,1050.66666666667,2.54342123333333,3.84230769230769,4.76666666666667,10.127796,0.18,184.744
2017-01-01,313100,50168,9051,5736.32225806452,126.6,326052.666666667,1068,2.59645533333333,4.17307692307692,4.56666666666667,10.076657,0.13,187.371
2017-04-01,318200,50684,9150,6095.44174603175,127.3,326554,1073,2.18220366666667,3.98,4.36666666666667,10.038956,0.05,189.617333333333
