DATE,Median_Sale_Price_House,Personal_Income_Per_Capita,Property_Tax,Nasdaqcom,Construction_Employment_Cost,Population,New_House_Units_Construction,CPI,Mortage_Rate,Unemployment_Rate,Household_Debt_Payment,Recession_Rate,S&PCase_Schiller_Index
2006-01-01,247700.0,37296.0,6492.0,2288.79629032258,100.7,297736.666666667,1423.33333333333,2.51049783333333,6.24692307692308,4.73333333333333,12.717794,0.09,183.324
2000-10-01,172900.0,31093.0,4857.0,3026.41285714286,84.9,283518.666666667,970.333333333333,2.9321634,7.62076923076923,3.9,12.071449,5.8,108.274666666667
2004-04-01,217600.0,33921.0,5676.0,1985.00209677419,95.4,292875.333333333,1228,2.2917045,6.10615384615385,5.6,12.156748,0.33,148.209666666667
2009-07-01,214300.0,39092.0,7569.0,1983.5059375,111.5,307572.666666667,591.666666666667,1.76965196666667,5.16230769230769,9.63333333333333,12.251916,1.56,148.237666666667
2002-01-01,188700.0,31480.0,5056.0,1882.79516666667,88.0,286935,1004.66666666667,3.52912216666667,6.97153846153846,5.7,12.455852,2.05,117.892
2018-10-01,322800.0,54177.0,9844.0,7215.11458730159,132.4,329521.666666667,1144.33333333333,2.45205066666667,4.78461538461538,3.83333333333333,9.926322,0.27,205.645666666667
2001-07-01,172500.0,31504.0,5106.0,1876.21338983051,86.8,285583.333333333,1014,3.29385776666667,6.96384615384615,4.83333333333333,12.329243,31.14,114.156666666667
2015-07-01,295800.0,48217.0,8519.0,4924.328125,122.6,322427.666666667,922.666666666667,2.20037283333333,3.95461538461538,5.1,10.095941,0.44,172.965
2009-01-01,208400.0,39292.0,7331.0,1483.38852459016,110.9,306236.666666667,752,2.52177496666667,5.06,8.26666666666667,12.704628,99.88,150.060666666667
2021-01-01,369800.0,66756.0,10741.0,13351.4563934426,141.3,331989,1292,1.58366833333333,2.87583333333333,6.2,8.311256,0.0,242.464666666667
2014-01-01,275200.0,45380.0,7919.0,4210.40475409836,118.6,318644.333333333,717.666666666667,1.81061916666667,4.36461538461538,6.66666666666667,10.101298,0.05,162.513
,,,,,,.,.,.,7.42454545454546,.,,,
2013-07-01,264800.0,44498.0,7742.0,3640.89546875,118.4,317396,651.666666666667,1.8908401,4.44,7.23333333333333,10.144262,0.11,156.932
